10,203.5,206.1,205.71
114,122.23,211.45,255
133,201.15,225.12,212.45
156,204.41,207.58,146.08
200,254.3,124.81,170.74
22,199.21,192.72,154.96
275,59.299,104.82,254.97
288,119.59,208.63,76.706
296,48.729,186.39,131.46
323,217.77,189.87,92.327
344,235.53,93.6,217.86
451,89.84,138.12,253.19
47,185.85,171.62,155.98
475,229.22,118.57,204.07
495,62.802,249.14,115.05
532,220.12,224.97,237.46
58,210.77,179.27,138.98
664,30.495,199.42,208.27
68,178.98,150.22,179.64
685,250.52,109.59,124.08
82,81.452,116.26,253.66
903,38.266,195.16,219.1
92,62.944,152.8,249.11
975,215.57,157.35,243.1
