4,5,213.88,213.82,215.24
5,22,174.17,177.86,161.21
10,48.5,185.85,171.62,155.98
12.5,57,210.77,179.27,138.98
15,66.36,178.98,150.22,179.64
17.5,81.25,81.452,116.26,253.66
20,92,62.944,152.8,249.11
22.5,113,122.23,211.45,255
25,133,201.15,225.12,212.45
27.5,156.01,204.41,207.58,146.08
35,202,254.3,124.81,170.74
50,343,59.299,104.82,254.97
55,296,235.53,93.6,217.86
60,478,48.729,186.39,131.46
65,324,234.43,111.12,208.12
40,265,217.77,189.87,92.327
